post,sentimento
vezes dói coração lembrar embora maranhão logo joão,positiva
queria ta maranhão curtindo joão ano vem tentar tirar férias junho,positiva
perguntaram pra lexa hoje encontro vindo maior joão mundo q campina grande aí joão thay kk nordeste estados culturas diferentes maranhão cultura boi capina forró ano inteiro top,positiva
disse lera vão tomar amor lera chorou lera chorou manda pra vai dançar cacuriá contigo viva dona teté rosa reis joão maranhão lindo mundo,negativa
coluna hoje f5 relato joão thay diretamente luís maranhão,neutra
boi bumbá existe causa bumba boi aqui maranhão escolas sambas décadas passadas citaram joão maranhão conhece alcione,neutra
ah porque vi agora websérie desquerida achando dona joão maranhão quero lasque,positiva
encantada cidade joão thay valeu mto pena todo esforço sair mg vir pro maranhão parabéns festa alguns contratempos gostei mto voltarei ano vem,positiva
ludovicense mania falar joão maranhão sabe realidade estado próprio umbigo,neutra
vcs reclamam joão thay nunca joão interior maranhão principalmente região central ngm conhece musica boi direito conhece pq alguma vez veio capital joãoo dificil btw,negativa
pra thay acabar mimimi tirando joão thay colocando festa thay pra maranhão perder visibilidade gente deixar receber turistas interior estado tbm,neutra
recebi convite irresistível projetar estamparia temática joão maranhão pra trabalho inspirei detalhes lindos apaixonantes toda estética joão maranhão uso miçangas criação ornamentos couro boi,positiva
todo ano sofrendo vivendo experiência passar joão maranhão,negativa
promove joão maranhão arrecada fundos ajudar instituições carentes google trabalho legal,positiva
sempre pós joao thay aparece queridos criticando olha gente sinceramente viu quer visibilidade pro maranhão então levar influencer grava stories 247 meeeeesmo vai levar low profile né,positiva
galera chata caralho criticando joão thay pois façam melhor queridosfaça joão nome tentem fazer algo bom cultura maranhão reclamar internet serve nada fazer melhor sim,positiva
maranhão joão rico culturalmente país,neutra
joão artista maranhão foda,negativa
nao pq leo santana ivete vao destruir sao joao maranhão,negativa
thay og sempre entrega melhores looks joão faz toda roupa história maioria feitas artesãs maranhão duvidar todas pra mim ícone moda,positiva
chegar maranhão ir direto pro joão thay ficar 3h manhã acordar 6h sair hotel 630 queria saber mundo tava pra aceitar fazer loucura esqueci totalmente idade,negativa
u fico triste completamente leigo nessas discussões envolvendo cultura joão maranhão pra mim parece tudo lindo boa,positiva
pipipi popopo joão thay bora guarnicê festival cinema gosta criticar evento nunca ter produzido,positiva
joão thay mostrando onde fica maranhão pros paulisssssta,neutra
trabalhou bastidores qualquer joão sabe quanto donos boi prepotentes arrogantes inclusive alguns brincantes kkkkkk vem militar pq cara branco pq boi aqui maranhão elitizado brincantes tudo playboy poupe,negativa
pode falar subcelebridade talz oq mulher faz pra exaltar cultura país maranhão inacreditável parabéns thay orgulho saudade imensa estado dessa época melhor joão,positiva
irrita aqui twitter galera querendo racializar todas questões apenas festa joão menina esforça pra promover todos anos forma simples show ivete apaga inferioriza cultura maranhão passaram ponto,positiva
maranhense nascida criada maranhão cria joão desde pequena ia ver todas brincadeiras possíveis mamãe irmãos todo ano chega junho emociono demais pq cultura rica linda,positiva
kkkkkkk conhece joão maranhão visto,neutra
escutando aqui camila revoltada ainda quer dizer brincadeiras locais precisam apresentar graça recebem cachê inferior atrações nacionais ainda destratadas difamadas realmente joão fulana lá maranhão,positiva
perder situação espero consigam analisar forma razoável entendimento partes consigam seguir parceira próximos anos assim continuar difundindo palavra joão maranhão sim melhor brasil,positiva
amigo falei bom demaaaaaais nada compara coração joão maranhão coisinha diferente sabe aff aproveita arraial vais hoje,positiva
festas slz luís somente 0200 manhã joão dona maranhão kkkkkkkkkkkkkiuuuu,neutra
massa pra caralho povo orgulha própria cultura viu ainda vi joão maranhão fato pedacinho q tava representando ontem bonito v maranhenses tudo cantando músicas terra bois tal,positiva
festa linda joão thay colocou verdade maranhão mapa,positiva
bel amanda arrasaram joão thay maranhão,neutra
lendo fofoca joão pessoas souberem acontece classe artística luís maranhão matam kakakaka,negativa
totalmente tudo joão maranhão nesse modelo perde pro balão noção,negativa
rapaz vcs sabem joão festa origem portuguesa né aqui maranhão rolou sincretismo tradições indígenas africanas origem rolê português,positiva
amores joão maranhão maior melhor brasil começando,positiva
chegou melhor época ano joão maranhão lindo,positiva
música eletrônica agora sim tamo joão maranhão,positiva
sonho passar joão maranhão dançar todos sotaques arraiais,positiva
primo mandou mensagem dizendo joão luís maranhão pegando fogo preciso ir conhecer q antes q morra kkkkkkkk,negativa
nunca pensei ia chegar momento ver joão daqui sendo transmitida globo nordeste ok evento blogueira surpreendente ponto positivo pra espalhando cultura junina maranhão todos cantos,positiva
joão maranhão aí feito pessoas entendem cultura maranhão entendem rituais entendem religiosidade trás única coisa maranhão localização,neutra
grandioso thaynara og colocando maranhão mapa grandes eventos joão mt kinga,positiva
joão thay evento necessário eleva nível demais influenciador país coloca maranhão mapa,neutra
tipo tom q produtor usaram pra referir dia maiores símbolos joão maranhão extremamente desrespeitoso q tá gerando revolta necessariamente cultura vai acabar causa disso entende onde vem revolta,neutra
opinião polêmica sobre história sjt entendo q boi maioba peso nome joão maranhão fato negarem participarem horas antes evento sacanagem sim certeza,negativa
transmissão joão thay pra todo maranhão todo pernambuco oi,neutra
ivete sangalo apresenta joão thay saudade maranhão,neutra
joão maranhão joão thay,neutra
adorei look legal trouxe elementos joão maranhão,positiva
preciso ver resto tá afirmar q boca rosa linda d evento ainda cima mt ligada joão maranhão,positiva
gente segundo povo fala joão maranhão diferente,neutra
joão thay eventos lindo vi influencer fazer além beneficente mostra qto thay ama estado cultura qto deseja levar pro brasil inteiro conhecer amo nordeste aumentou vontade conhecer maranhão,positiva
fico tão feliz ver quanto joão thay cresceu visibilidade consegue levar pra maranhão todo nordeste faz festa mergulho cultura raízes estado região orgulho demais merece cresça cada vez,positiva
sabe mico sj thay galera associar joão maranhão alguma festa countrypoxa internet tá aí pra catar referências fia,positiva
gente joão thay governo maranhão porra todo ano cobrança pra cima menor obrigação assim ainda faz 1 evento cultura local arrecadaria quase nada 2 noite pra tudo semana,negativa
influencers maranhão arrasaram roupas joão thay,neutra
artesanato maranhense presente joão maranhão 2023 maior joão mundo via machado,positiva
próximo ano perco joão thay curtindo aqui casa g1 maranhão saojoaodathay,positiva
caraca coisa linda thaynara og joão thay amei roupa cores maranhão toda história cultural trás look,positiva
joão thay obrigação nasceu proposta espetacularização ta cada ano maior eventos secretarias cultura prefeitura governo estado pecam manter respeitar fomentar tradições,negativa
viva joão maranhão reflexão paz,positiva
toada boi axixá sempre vai bonita joão maranhão,positiva
felicidade sorrisos joão maranhão pode proporcionar,positiva
vendo famosos reclamando calor daqui maranhão joão thay aqui próprio inferno d tão quente,negativa
cezar black pop star gente joão thay parou,negativa
amanda joão thay,neutra
tapete vermelho joão thay aqui todos famosos passam vão tirando foto fãs,neutra
melhor joão mundo todo pronto acabou amo demais maranhão,positiva
gente maranhão joão bem diferente resto nordeste,neutra
amando acompanhar amanda maranhão amanda joão thay,positiva
ano vem joão maranhão piauí,neutra
joão thay verdadeiro met gala maranhão,positiva
opinião ninguém importa kkk vamos lá acho importante joão thay principalmente divulgação estado aquecimento turismo tal deveria poderia valorizar cultura maranhão fato poderia,positiva
bianca chegou maranhão vai pro joão maquiagem fez manhã certeza vai durar falou justamente pra pessoas comentarem sobre dizer sabe ta fazendo garante dms trampo vc foda bibi,negativa
kkkkkk joao sempre paia siô ainda falaram mal boi maioba hem hem nunca cara destasempre achei super enfarenta chacota povo vim dizer maior joão maranhão pq nunca sempre ruim,positiva
gente joão maranhão tbm origens indígenas hem afro reparo quanto apagam influencia indígena história joao hem hem,neutra
joão thay deveria reconhecido importância apresentar maranhão pro mundo valorizar nordeste cultura apenas usar região auto promover diversos influencers fazem saojoaodathay,positiva
sao joao lembra cha burro maranhao,neutra
real queria entender pessoa hater pessoa boas faz trabalho envolve polêmica tá tempo todo falando maranhão criou joão thay traz vários benefícios pro estado,positiva
porque falam sobre ter ido maranhão ficou encantada calor povo lá joão thay ajudar unicef toda entrevista povo força dizer algo sobre relacionamento acham algo vai falar nada evento,positiva
boa tardeeu bem adorando viagem maranhão joão thayvocês maravilhosa,positiva
sso sei sei aqui luís maranhão ontem reviver joão daqui entendo porque dizendo desapareceu kkkkkkkk,positiva
pq joão maranhão assim lá todo diferente beleza cultural diferente deixa sapato chegar campina grande aí vcs vão ver q forro joão típico daqui kkkkkkkk,positiva
segurando vontade corrigir sec estde cultura ano todos anos arrecadação joão thay vai doação projetos visam proteção crianças adolescente maranhão,positiva
vc nao sabia povo maranhao queria partir 2023 sao joao passasse chamar s joao fn feat thay alto modestia declinou honra contem ironia,positiva
impressionante visibilidade thaynara tá trazendo pro joão maranhão,positiva
menina maranhão falando mal joão thay ctz q daquelas q axa q joão fantasiar matuto tomar quentão,negativa
visuais bey pro joão maranhão acabaram sair,neutra
excelência ideia joão thay lindo apresenta nordeste maranhão forma tão delicada cultural rica colorida calorosa influenciadora verdade,positiva
kkkkk sabe acho irônico joão thay maioria desses influences nunca iriam vim maranhão evento grande pq maranhão nunca lugar escolha conhecer pq pra nordeste resume bahia ceará,negativa
jantar atrações cultura popular reúne dezenas celebridades faz esquenta joão thay luís g1 g1ma,positiva
amanda dando entrevista falando quanto feliz quanto feliz oportunidade joão thay conhecer luís maranhão imirante via feed,positiva
joão thay tb consegue movimentar economia maranhão gente sabe agora movimento bofe gostoso q ta cidade mds casei 5x ontem pra hoje,neutra
dedicam vida cultura popular fazem circular arte contribuem geração emprego renda fazedores cultura maranhão principais responsáveis sucesso joão maior manifestação cultural,positiva
joão thay q virou farofa gkay pq divulgar belezas maranhão cultura fazendo lista convidados caiu larissa ex bbb deu 300 entrevistas falando beijou pq julgava key expor coisas,positiva
tá mostrando mta coisa foda aqui hst maranhão pagaria ingresso sao joao pra trocar duas ideias,negativa
tá tudo lindo amando joão thay tudo maranhão proporcionando,positiva
nordeste plural dadas dimensões continentais tudo igual todo lugar algo óbvio q q explicar várias vezes aq sp pi joão bem parecido resto nordeste quadrilha sdds exceto maranhão q único boi cuxá matraca lá,neutra
comparação maranhão casa joão,neutra
joão thay representa joão maranhão nunca representou apenas desculpa fazer festa pessoas agarrem hotéis local festa vergonha total,positiva
thaynara tá conseguindo associar nome transformar joão maranhão maiores brasil joão,neutra
mds sdd sao joao ipem sdd tragar fumaca bombinha garganta ter ficar 50 minutos sentado tossindo sdd estourar bombinha murrao perto velho sdd comer sorverte barraca kibom 1 quilo 100 reais sdd maranhao vsf,neutra
votem pernambuco maranhão tá ganhando causa joão thay,positiva
precisa enquete vem pro maranhão ter ctz joão maior melhor,positiva
pra enquete sendo todos sabem maior joão mundo maranhão,neutra
joão maranhão maior melhor,positiva
nada pre estreia maranhão meio joão,neutra
faria tudo desse aqui agora acredito vou passar joão inteiro longe maranhão,neutra
amo ficar vendo stories pessoas babando maranhão joão thay,positiva
coisa acho bem bonita joão thay admiração todos thaynara og promove cultura maranhão todos momentos evento amplia voz povo todo mundo pra assistir aplaudir influenciadores usem voz assim,positiva
opiniões bem fortes sobre turismo joão maranhão momento oportuno expressarei,positiva
alguém aí vai pro joão maranhão,neutra
pq joão maranhão dura 2 meses questão público campina maior,neutra
fotógrafo falar key marcar key tá sendo super acessível todos joão thay maranhão desdo primeiro dia vem matérias tendenciosas perseguição igual desnecessária,positiva
deboche população desrespeito artistas locais total ignorância sobre joão maranhão,negativa
luan santana joelama joão luís gene cade s forrozeiros piseiros raiz cara tão estragando essência melhor época ano maranhão,positiva
gostando forma amanda mostrando joão maranhão tô achando elegante humilde simpática prêmio subiu cabeça parece ter mantido essência tanto encantou,positiva
joão cidade maranhão danças ganham destaque bumba boi maior força capital estado quadrilhas cujo principal campeonato arraiá mira acontece segunda capital estado imperatriz porém,positiva
vem pro maranhão faz léo vem curtir lençóis joão dançar forrózinho,positiva
domitila chegando joão thai maranhão,neutra
linda bonita dando visibilidade maranhão belezas mostrando mundo importância causa evento joão tay,positiva
pano faça defender joão maranhão rico cultura pretaindígena convidados,neutra
assim tá escrito maior joão mundo rua maranhão sapato deve tá dm achando absurdo kkkkkkk,neutra
interessante inovação jantar árabe enaltecer cultura joão maranhão,positiva
joão maranhão,neutra
sempre assisto vídeos sobre joão maranhão dá aperto coração tanta saudade,positiva
to simplesmente encantada maranhão vim antes conhecer lugar ansiosa pra curtir mto amanhã joão thay,positiva
grupos bumba boi interior estado celebram joão centro cultural vale maranhão luís atrações sete cidades apresentam durante mês junho,positiva
lembrando joão thay evento beneficente prol unicef evento muita visibilidade ajuda divulgar cultura maranhão vai sim subs iguais tbm alguns famosos agora desmerecer tudo pra mim coisa mt baixa fazer,positiva
indo cobrir mega festa junina maranhão dicas vou ter tempo ir lençóis joão sao luís,positiva
lençóis barreirinhas interior maranhão chegaram hj noite luís capital onde vai joão,neutra
saí poucas vezes luís barreirinhas vez passagem apenas fazer ensaio voltei fiz cobertura joão imperatriz ano passado sonho dia vou conseguir viajar todo maranhão fotografar belezas naturais,positiva
especificamente joão maranhão maior melhor,positiva
visando contribuir geração emprego renda programa renda faz presente joão maranhão,positiva
amanda pronta primeira noite joão thay disse surpresa feliz carinho tá recebendo luís maranhão pediu dicas pode deixar conhecer lá,positiva
governo maranhão lança aplicativo joão maranhão divulgar programação junina informações turísticas estado,neutra
joão maranhão,neutra
bruna contando chegou luís maranhão joão thay cumprir compromissos diante ocorrido agradeceu todas msgs pessoas receberam aeroporto,positiva
gigante thay toda aurea joão maranhão,neutra
feriado 1 maio amiga maranhão conhecer mina badoo mês volta ma pro joão mina vem férias pra mg amiga viajando maionese vai convencer sujeita ficar vez mg voltar pro maranhão hahaha,positiva
contagem regressiva joão thay celebridades participam luau visitam lençóis maranhenses,neutra
acordo observatório turismo maranhão ocupação rede hoteleira luís deve chegar 80 junho julho deste ano 2022 taxa atingiu 6879 junho 789 julho prova investir joão aquece turismo gera emprego renda,positiva
bom ler algumas respostas tuíte opinião sobre atrações aleatórias joão maranhão apenas pensar povo burro ficar paz,positiva
fracasso carnaval braide resolveu gastar caminhão dinheiro bater frente joão governo documento obtido exclusividade blog acontece descobrimos cantor tierry receberá r250 mil reais apresentar beiramar,negativa
joão rj graça prefiro mil vezes maranhão,neutra
governo maranhão lança aplicativo joão maranhão divulgar programação junina informações turísticas estado,neutra
arraial ipem abre programação oficial joão maranhão 2023 maior joão mundo,positiva
ótima viagem ida volta deus abençoe dias maranhão joão thay,positiva
thay influenciadora maranhão começou 201516 joão thay evento beneficente,positiva
antipedagogicoo tal joão desta jovem representa tudo verdadeiro tradicional joão maranhão,positiva
amanda indo maranhão joão thay alguns fãs montaram manual receber chorar chore baixo hahahahaha achei fofo,negativa
pratinho comida joão maranhao 50 pratinho comida pracinha cidade 2000 12 aí sdds fortaleza,neutra
larissa brandão primeiradama embaixadora joão 2023 fala sobre beleza joão maranhão,positiva
ontem querido veio falar campina grande pisa demais joão daqui nessa hora puxei bandeira maranhão bolso coloquei toada pra tocar spotify militei demais pra defender joão,positiva
showzin dorival calcinha preta tarcísio alcione alceu faça alguma coisa joão governo maranhão,neutra
bom dia galera começar segunda dividindo página sketch personagens joão maranhao dúvidas maior planeta,positiva
compartilhe conosco experiências joão thay cultura maranhão tão bom,positiva
luís maranhão joão thay,neutra
bom dia divos divas nada pode abalar pois joão maranhão,positiva
joão maranhão 2023,neutra
moça deve porque luís realmente né joão resume luís joelma sempre figura carimbada joão maranhão inclusive muitas quadrilhas usam repertório quadrilhas,neutra
luís umas culturas lindas tô tendo prazer conhecer amo joão fortaleza tiro chapéu história bois maranhão ps escravo fugi trabalho direto pra farra,positiva
maior joão mundo luís maranhão,positiva
arraial ipem melhor joão mundo luís maranhão,positiva
arraial ipem melhor joão mundo luís maranhão,positiva
parabéns thay linda maranhão projeto incrível joão ainda visibilidade todas riquezas naturais estado simplesmente fascinada acompanhar cada detalhe,positiva
moro luís 4 anos acho joão daqui bom demais verdade joão daqui pouquíssimo conhecido maranhão olha vim estado vizinho,positiva
sexta abertura arraial pref luís chuva deixou curtir apresentação completa bois morros maracanã barrica ficou gostinho quero viajei esperar semana vem matar saudade joão maranhão,positiva
boi morros brilhando palco maior joão mundo importantes respeitados grupos sotaque orquestra maranhão 1 dia arraial ipem,positiva
gosta joão maranhão boi orquestra repense,positiva
acho graça joão maranhão justamente raízes programa familiar finaliza pessoas brincando atrações trazer shows assim desfaz todo sentido alguns perguntam pq aprecio justamente lembrança infância embora hj menos q antes,positiva
amanda vai fazer prova looks pra joão thay ainda hoje amanhã viaja pro maranhão fica lá dia 05 08,neutra
outra coisa maravilhosa joão thay coisa linda maranhão,positiva
vendo stories joão thaynara og 50 cansada ver tanta festa 50 querendo conhecer maranhão,neutra
saudades passar joão maranhão,negativa
último dia maranhão lindo festivo joão entrei igreja aleatória santo antônio sentei fiz prece assaltada amigo,positiva
joão maranhão,neutra
vem pro maranhão amigo joão babado,positiva
arraial ipem joão maranhão viraram,neutra
taí menos desse mal acho joão maranhão ainda vai resistir flávio josé ia bem tratado bandas daqui,negativa
thaynara og influencer maranhão todo ano faz festa joão renda vai unicef vão vários famosos,positiva
adoro joelma ok joão maranhão thierry daquela coisa velho lancha sei fica parecendo poema king dizendo primeiro levaram vizinho judeu etc confuso momento tantos resistem pra serem extintos,positiva
ai gente vem maior joão brasil maranhão sim quero ver algum outro lugar cacuriá,positiva
uns caras momento maranhão convidado pra embaixador joão thay sio flavin viannaa,neutra
joão maranhão alceu valença programação,neutra
deeeeeus lindo energia joão maranhão todinha,positiva
aqui maranhao sao luis sao joão bem tradicional bumbameuboi destaque desse grande momento cultural matracas ressoam pandeirões ninguem paga viver junto alegria popular povo,positiva
governador edison lobão iniciando neste saudita 03 junho grande temporada joão apoio governo estado maranhão deputado estadual rildo amaral deputada estadual ana gás trabalho pode parar deus comando,positiva
todos bemvindos joão maranhão,positiva
9 anos conseguirei vivenciar auge período junino maranhão daqui pouco tô chegando véspera joão,neutra
joão thaynara og maranhão,neutra
to vendo vai ano estressando pessoal maranhão conhece cultura perguntando carnaval conta looks coloridos brilhosos joão thay prometi pra psicóloga ano surto ngm,neutra
campina grande caruaru patos outras cidades nordestinas promovem grandes festas joão deveriam seguir exemplo festa junina maranhão aqui valoriza autêntica cultura local espaço música sertaneja baixa qualidade cachê altíssimo,positiva
todo respeito grandes artistas maranhenses ninguém deu maranhão tamanho visibilidade thaynara og vem dando além joão thay ajuda outras milhares pessoas questão cultural turismo,positiva
hoje inicio temporada junina dia 29 capela pedro pretendo percorrer máximo arraiais possíveis joão maranhão maior melhor inesquecível bora primeira parada ensaio redondo bmb maracanã,negativa
próximo final semana volto pra skin cachaceira amante joão encontrem bocas beijáveis mim santo antônio arruma amores então probabilidade apaixonar nesse joão alta acredito mt amor joão,positiva
meio diversas denúncias contra transporte público hospitais escolas municipais braide prepara joão atrações caríssimas luan santana felipe amorim tierry joelma confirmados,negativa
sério yarley tá aqui maranhão juro thaynarae transformou joão farofa gkay,positiva
queria tá chegando maranhão pro joão thay agora,neutra
queria ter disposição pra festa igual pescadores todo bate lata meio joão maranhão 2023,positiva
turma perfeita falta nessa foto ficar milhões joão maranhão,positiva
todo mundo sabe melhor joao eh aqui maranhão,positiva
vez maranhão entregando tudooo joão,neutra
né nada amo acompanhar época joão thay pessoal conhece cultura luisbarreirinhas fica impressionado incrível maranhão lindo demais,positiva
joão maranhão pq gente valoriza cultura real,positiva
acho lindo thay ter transformado joão além festa filantrópica vitrine turismo pro maranhão arrasou,positiva
queria ver alguma atração cultural daqui maranhão coragem fazer aqui joão thay 1h pouco imagina 10min,positiva
maior ministro cultura maranhense espalhei quatro cantos aqui sul sobre joão maranhão,neutra
joão simplesmente bonito brasil cultura linda joão maranhão,neutra
mídia vai cair si maior joão brasil maranhão bom dia todos,positiva
juliette vem pro joão thay responde juliette pq vc odeia maranhão,negativa
verdade acontece somente campina grande aqui maranhão capital tal festa joão thay segundo patrocinam vitrine alavancar cultura maranhense atrações principais ivete leo santana outros,positiva
maior joão mundo aqui luís maranhão,positiva
estácio sá 2023 sinopse enredo joão luís maranhão acende fogueira coração,positiva
cara amo nordestino amoooo tanto joão maranhão perfeito tudo,positiva
quanto gosta joão maranhão defendi boizinho barrica hoje,positiva
vou juntar gays sapatao evangélico ateu todes pro joão maranhão comigo,neutra
joão maranhão melhor mundo juro,positiva
acho gabriel vai joão thay vi evento maranhão tá gravando acho der pra fazer bate volta,neutra
esperando maranhão pro sao joao bruna,neutra
alguém ajuda favor descobrir dia lari vai joãotem fãs maranhão querendo ver,positiva
imagina conhecer joão maranhão dizer existem festas juninas melhores,positiva
luís maranhão vai arraso joão thay aguardando,neutra
pois pedro olhou pro maranhao falou vcs q lasquem comemorem joao debaixo toró kkkkkk,positiva
fotinha gostosa cheiro joão maranhão,neutra
eliete joão maranhão prévia arraial ipem,neutra
key vai amar joão maranhão sério melhores,positiva
maior joão luís maranhão tooo casaaaa,positiva
melhor joão maranhão maranhense,positiva
programação joão maranhão arraial ipem começa neste domingo vai julho,neutra
falta lana dá pulo aqui maranhão aparecer joão thay,negativa
governador comanda maior melhor joão mundo tudo pronto recebermos turistas festa popular expressa genuína riqueza cultural maranhão vem pra cá,positiva
estética joão maranhão linda sim,positiva
lana aproveita vem pro maranhão aproveitar joão tomar mingau milho cmg,positiva
lana del rey podia vir joão maranhão,neutra
bem vindo junho bem vindo joão maranhão bem vindo mingau milho,positiva
melhor época pra ta maranhão joão aff,positiva
maranhão maioral joão,neutra
chegou melhor mês ano mês melhor joão mundo vamos vamos,positiva
fazer caminhada viva tava tocando forró boi axixá xote desejo menina amo 1 junho país maranhão joão,positiva
trás pra passar joão maranhão malandro,neutra
admito tô acostumando logo algo joão maranhão,positiva
joão maranhão melhor boi sendo lindo competição,positiva
campina grande conhecido maior sao joao mundo pq maranhao tbm diz mesma coisa sendo q,positiva
joão maranhão energia única,positiva
junho chegou fechar primeiro semestre 2023 maranhão clima especial matracas pandeirões riquíssimo belo contagiante joão santo antonio pedro marçal viva,positiva
amiga joão bem diferente outros estados rico tradições típicas maranhão,positiva
arroz cuxá vatapá torta camarão comidas típicas maranhão reinam joão,neutra
joão maranhão 2023 decoração praia grande centro histórico luís mafoto lauro vasconcelos,neutra
amo tanto joão maranhão amo tudo dia 29 junho pois dia capela pedro,positiva
1º junho sinto pronta pra 60 dias joão maranhão,positiva
dançado boi barrica tradicionais danças joão aqui maranhão,neutra
enquanto aqui melhor joão mundo puder vir venha joão maranhão,positiva
joão sarando onde dói,negativa
bom dia chegou mês amo sinto falta mês bolo fubámingau milhocanjiquinhabolo caroçobumba boiquadrilha viva joão saudade maranhão,positiva
queremos gabar iemas cheios talentos aproveitando lana tá brasil bem podia conhecer maior joão mundo 60 dias festa tá lindo demais,positiva
tô tão feliz mês junho começou amo tanto joão maranhão,positiva
desculpem demais joão lindo maranhão,negativa
pensar ano passado tava passando joão namorando apresentando sj maranhão intensamente pra jon ano to outro estado namorado matraca mês junho vem depressão,negativa
pois venha pra slz onde maior joao maranhão,neutra
joão maranhão começou vai durar quase mês inteiro aqui,neutra
desculpa outros estados aqui maranhão começado pré joão partir hoje dada largada oficial maior joão todos tempos quase dois meses festa,positiva
próxima semana joão thay aqui maranhão vai top viva nordeste viva cultura nordestina troco oxente,neutra
queria ta passando sao joao maranhao,neutra
imesc entrevistado sobre última nota comércio varejista economia segue aquecida apesar impacto pandemia joão movimenta varejo cenário positivo crescimento estado perspectivas animadoras decorrer ano,positiva
bom dia povo trabalhador trabalho entregas ainda joão curtir bora tá férias pode voltar pra cama segundouma governoma,positiva
luís maranhão ainda joão,neutra
fiz joão maranhão momento pra vida,neutra
engfa pronta pra ir curti joão aqui maranhão kkkkkkkkkkkkk,positiva
joão ainda pedro saojoao slz saoju maranhao nordeste ne saopedro,neutra
sabadei arraial ipem digo joão maranhão realmente inimigo fim,negativa
tá escrito tanto amo joão maranhão,positiva
forró caixa tambor crioula cultura popular joão gente bequimão ma imagens edmilson pinheiro saojoao festejosjuninos florestadosguaras culturaquilombola prefeituradebequimao bequimao maranhao,positiva
bora esquentar joão começou conheça história amo cantador boi morros josé lobato aperta play governoma culturama esquentameutambor saojoaoma,positiva
joaogomescantor joão gente santa inês maranhão ontem 0407 registros sigam plantaojoaogomes informações sobre artista joaogomescantor santainês santaines maranhãodeencantos sãojoao registros,neutra
vem pra luís maranhão época joão acho vai amar flor,positiva
tbt festas pedro marçal alegria devoção tradição cada momento bateu saudade né joão ainda acabou governoma culturama sãojoão2024 maranhão,positiva
pajelança terreiro senhora aparecida barracão cultura joão gente bequimão ma imagens edmilson pinheiro saojoao festejosjuninos florestadosguaras culturaquilombola matrizafricana povosdeterreiro bequimao maranhao,neutra
pouco tempo tavam maranhão pro joão thay certeza ainda virão outras viagens,positiva
hit joão maranhão ganha versão exvereador professor músico wesley sousa,positiva
centro cultural vale maranhão prorrogou programação dedicada joão primeira quinzena julho,positiva
joão maranhão canto cultura recebe festival cena nordeste,positiva
fabio ribeiro presidente bmb brilho terra falou sobre importância tamanho joão saojoaodomaranhao governoma,positiva
esperar querida chegar rj pra ver lembra joão maranhão,positiva
abertas inscrições professores coordenadores turma unidades regionais educação balsas caxias chapadinha codó imperatriz pinheiro rosário joão patos luís zé doca aí vamos alfabetizar maranhão juntos seducma,neutra
selecionar fotos joão pra postar deu vontade chorar saudades maranhão,negativa
dep cláudia coutinho fez análises sobre eleições municipais caxias elogiou governo estado realização joão maranhão sessão,positiva
quero ver bandeirola frente pude ir pro joão maranhão quero saber nada relacionado chega,positiva
amg conhecia tipo maranhão grande maioria dia apresentação joão thayse identificaram caprichoso marci cunhã fato ter coisas comum bumba boi então assim,positiva
faltaram alegria segurança maiores festas joão brasil vez pmma participou grande festa garantindo tranquilidade evento maranhenses milhares turistas vieram estado,positiva
mês junho acabou maior joão mundo segue todo vapor julho ainda arraial luís diversos municípios muita cultura várias atrações confira programação aproveite joão maranhão inimigo fim,positiva
tudo marketing tudo fabricado tudo artificial bumba boi original verdadeiro cultural quê festa bonita ocorre mês junho dias joão pedro participação vários bois sotaques variados acontece estado maranhão,positiva
fique dentro tudo sobre joão maranhão arraial mirante news marcelo rodrigues segunda sextafeira 11h rádio mirante news fm 1041,neutra
joão maranhão segue rolando promover segurança mulheres governoma realizando campanha catirina quer viver conheca fechô tampa proteção copos evitar terceiros coloquem substâncias bebida,positiva
joão maranhão josésarney,neutra
quero passar joão maranhão ir festival parintins virou meta igual carnaval bahia,positiva
junho acabou ainda muita festa maranhão dias 15 16 17 julho timon vai receber grande programação junina grandes artistas cenário nacional dezenas grupos folclóricos estado maior joão mundo aqui participem,positiva
og conteve querer padroeira joão maranhão lá manaus querer padroeira parintins tb kkkkkk cuida isabelle,positiva
estácio sá homenageou joão maranhão mestre chuvisco buscou informações encontrou primo silvestre ajudou elaborar paradinhas primo tentou alertar mestre mangueira deu desculpa esfarrapada,positiva
segunda chamada última coluna discutindo problemas joão enfrentou maranhão ausência cooperação institucional principal entrave sim mentalidade política fica atrás,negativa
proletariado brasil joão nordeste minas festival parintins festival carimbó marapanim carnaval bumba boi maranhão dá pra pagar boleto viver cultura viva brasil multicultural,positiva
triste dia nesse joão maranhão,negativa
fico felizona vendo galera conhecendo joão maranhão,neutra
fez joão maranhão farofa og,neutra
segundou né povo todo mundo descansado capela pedro marçal pois toma café caldo ovos joão maranhão vai 31 julho sãojoãodomaranhão governoma segundouma,neutra
juçatuba vez deu nome mostrou pq sempre vai tá coração,positiva
jornal entrevistou aí maranhão durante joão thay,neutra
acabou joão pedro marçal volta rotina triste paruano festas juninas maranhão,negativa
advinha ddd aí 98 vulgo luís maranhão melhor joão mundo aqui viva maçal viva cultura popular maranhense,positiva
guaraná jesus todo ano faz latinha especial pro joão capital fica festa 2 meses todo canto música cidade fica enfeitada feriado municipal comida típica qualquer hora bumba boi maranhão,positiva
último dia joão serrano maranhão,neutra
explicar joão maranhão outros estados parte 2,neutra
